x;y;layer1;layer2;voltage1;voltage2;current
430.568;1934.43;TOP_LAYER;GND;0.00870091;0.00869767;0.0325782
430.568;1934.43;GND;VCC;0.00869767;0.00869767;-4.83899e-14
430.568;1934.43;VCC;BOTTOM_LAYER;0.00869767;0.00869767;-3.48139e-14
439.426;1047.2;TOP_LAYER;GND;0.0114052;0.0114052;-3.48139e-14
439.426;1047.2;GND;VCC;0.0114052;0.0114052;-6.31757e-14
439.426;1047.2;VCC;BOTTOM_LAYER;0.0114052;0.0114052;-5.22208e-14
455.568;2439.43;TOP_LAYER;GND;0.0083802;0.0083802;3.48139e-14
455.568;2439.43;GND;VCC;0.0083802;0.0083802;-3.49483e-14
455.568;2439.43;VCC;BOTTOM_LAYER;0.0083802;0.0083802;-1.74069e-14
465.98;1359.88;TOP_LAYER;GND;0.0113889;0.0113888;0.000506625
465.98;1359.88;GND;VCC;0.0113888;0.0113885;0.000174035
465.98;1359.88;VCC;BOTTOM_LAYER;0.0113885;0.0113884;0.000174035
473.48;1335.52;TOP_LAYER;GND;0.0113877;0.0113874;0.00159737
473.48;1335.52;GND;VCC;0.0113874;0.0113882;-0.000381038
473.48;1335.52;VCC;BOTTOM_LAYER;0.0113882;0.0113883;-0.000381038
473.48;1381.39;TOP_LAYER;GND;0.0113893;0.0113888;0.00289617
473.48;1381.39;GND;VCC;0.0113888;0.0113885;0.000148849
473.48;1381.39;VCC;BOTTOM_LAYER;0.0113885;0.0113885;0.000148849
476.48;155.52;TOP_LAYER;GND;0.0119001;0.0119001;-2.20449e-05
476.48;155.52;GND;VCC;0.0119001;0.0119001;2.69496e-14
476.48;155.52;VCC;BOTTOM_LAYER;0.0119001;0.0119001;2.11514e-14
476.48;178.52;TOP_LAYER;GND;0.0119001;0.0119001;2.20449e-05
476.48;178.52;GND;VCC;0.0119001;0.0119001;2.3683e-14
476.48;178.52;VCC;BOTTOM_LAYER;0.0119001;0.0119001;2.11514e-14
480.98;1261.52;TOP_LAYER;GND;2.82897;2.82897;-0.00333561
480.98;1261.52;GND;VCC;2.82897;2.82898;-0.00333561
480.98;1261.52;VCC;BOTTOM_LAYER;2.82898;2.82898;0.000948107
480.98;1285;TOP_LAYER;GND;2.82897;2.82897;-0.00381577
480.98;1285;GND;VCC;2.82897;2.82898;-0.00381577
480.98;1285;VCC;BOTTOM_LAYER;2.82898;2.82898;0.000637231
480.98;1304.41;TOP_LAYER;GND;2.82897;2.82897;-0.00284863
